Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
France,FRA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
France,FRA,GDP per capita (current US$),NY.GDP.PCAP.CD,1334.689512,1428.046001,1578.284538,1744.640123,1909.54162,2038.163102,2186.474592,2343.104503,2536.085114,2752.095114,2857.251682,3169.036323,3854.555835,4969.762978,5328.241548,6690.57827,6866.816892,7532.52696,9264.775293,11179.6329,12713.36517,11104.98134,10496.92855,9993.421182,9419.696143,9763.327404,13540.24637,16302.44738,17679.99669,17694.30932,21793.83554,21675.06499,23813.71225,22380.10775,23496.52015,26890.21762,26871.83127,24228.94639,24974.27386,24673.20305,22364.02939,22433.55498,24177.33556,29568.3888,33741.26192,34760.18502,36443.62631,41508.43269,45334.11796,41575.42196,40638.33525,43790.72602,40874.70039,42592.93539,43011.2631,36638.18493,37037.37419,38685.25849,41572.48501,40578.64429,39030.36037
French Polynesia,PYF,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,43.14385983,43.30533046,43.94357779,44.81904959,45.56074507,45.98022218,46.00066173,45.91129556,45.80519053,45.74892342,45.68985022,45.33230753,44.73066532,44.02126497,43.33774542,42.72629598,42.1139219,41.60239043,41.12644427,40.58464042,39.92407095,39.37943565,38.71346467,37.95378947,37.1868632,36.50912008,36.1077347,35.82139948,35.65662481,35.5379459,35.39081064,35.33815026,35.15114961,34.86958916,34.55977441,34.25214724,33.78118225,33.39107667,32.99347929,32.48991411,31.84564121,31.1789851,30.39940234,29.58136627,28.82316635,28.15518974,27.46791311,26.90001941,26.41207903,25.94381235,25.47972453,25.06966806,24.60129815,24.14622237,23.80817431,23.62004071,23.12482928,22.88719386,22.76189413,22.5638859,22.22329019
French Polynesia,PYF,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,54.03965367,53.88323049,53.25324248,52.3967437,51.67685464,51.28641452,51.2800364,51.38356918,51.4901976,51.53435686,51.57065931,51.94348761,52.57007768,53.30512137,54.00791025,54.62726601,55.12692827,55.51679522,55.87654304,56.32676935,56.93113548,57.46456224,58.17008329,59.02084789,59.88249569,60.62973445,60.95689622,61.13814689,61.1912206,61.21721182,61.29761637,61.31225273,61.46975802,61.71893544,61.97519106,62.2150584,62.55296372,62.79698148,63.04227663,63.39783508,63.89195882,64.42263331,65.0691644,65.7471419,66.3520735,66.84210526,67.2740508,67.5633086,67.76350919,67.95335791,68.16573155,68.37705175,68.67820579,68.98656447,69.15809426,69.13160323,69.31876536,69.20341033,68.94759777,68.75543795,68.70826036
French Polynesia,PYF,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.8164865,2.81143905,2.803179726,2.784206708,2.762400293,2.7333633,2.719301874,2.705135257,2.704611871,2.716719715,2.739490475,2.724204857,2.699257008,2.673613659,2.654344332,2.646438015,2.759149828,2.880814348,2.997012691,3.088590234,3.144793576,3.156002102,3.116452039,3.025362643,2.930641107,2.861145475,2.93536908,3.040453629,3.152154591,3.24484228,3.311572997,3.349597008,3.379092379,3.411475394,3.465034524,3.532794365,3.665854032,3.811941851,3.964244073,4.112250816,4.262399973,4.398381585,4.531433254,4.67149183,4.824760149,5.002705,5.258036091,5.536671983,5.824411784,6.102829741,6.354543919,6.553280189,6.720496063,6.867213163,7.033731437,7.248356058,7.556405354,7.909395803,8.290508105,8.68067615,9.068449457
French Polynesia,PYF,Population growth (annual %),SP.POP.GROW,..,3.306658912,3.586480507,3.748261348,3.712731272,3.606566047,3.446894417,3.326031386,3.284789146,3.317093163,3.383601505,3.464493234,3.481966544,3.487177157,3.428769923,3.339480097,3.246308123,3.147087478,3.082949341,3.045213753,3.022426386,2.992011192,2.947508259,2.894169621,2.822047417,2.734421224,2.666036825,2.595729281,2.473078126,2.309218138,2.112131576,1.887961097,1.714102422,1.63016135,1.672197895,1.789711398,1.934268172,2.017535935,2.054101749,1.990321783,1.872153116,1.749596739,1.638813365,1.487420856,1.29271982,1.082036685,0.8568947,0.653018031,0.511409081,0.45038994,0.448745828,0.469156586,0.481837052,0.495804118,0.509552892,0.516123547,0.532049201,0.556400387,0.565206884,0.578860345,0.578020814
French Polynesia,PYF,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,1889.242414,2229.752737,2210.064698,2512.267382,2274.456315,2299.176389,2593.115329,2751.171538,3516.394216,4375.530738,5260.420752,5401.97363,5669.999124,6969.934043,8169.159542,8885.644455,8103.453324,7907.982239,7977.589853,8005.802085,8514.273652,12659.10948,13630.02523,14051.4108,13470.02737,15913.51087,16038.83667,17169.70348,17539.54727,16444.15505,18262.42169,17788.07039,15724.04512,16303.0238,16074.27103,14324.11866,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gabon,GAB,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,30.99567203,31.31263605,31.58832515,31.84106805,32.0946094,32.36569603,32.7808997,33.16506004,33.53400522,33.8932495,34.24558045,34.91432919,35.50916783,36.05487061,36.57486034,37.07840182,37.60814149,38.1087016,38.57099716,38.98090825,39.33539668,39.73460311,40.06492741,40.34150404,40.58625165,40.8088182,41.08026841,41.3051414,41.49024619,41.63910574,41.750396,41.89435561,41.99190288,42.0408088,42.0327168,41.96319448,41.87680544,41.7269906,41.5252709,41.28561564,41.01550034,40.6993465,40.36155754,40.01331866,39.67011254,39.34503567,38.85670894,38.41271243,38.02527428,37.69841573,37.43316463,37.1131432,36.82840653,36.60599944,36.44718123,36.33285858,36.5886189,36.82213923,37.0258697,37.1795456,37.26388688
Gabon,GAB,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,61.44515779,61.12289664,60.87011796,60.66405193,60.48162013,60.30399673,59.9450942,59.6391359,59.36889103,59.12565828,58.90543921,58.27729337,57.73871023,57.26561998,56.83679353,56.44334832,55.96641679,55.54073537,55.16654939,54.85011033,54.58952429,54.22306552,53.93164295,53.70054116,53.51223117,53.35590999,53.11123607,52.92624621,52.78746401,52.68574262,52.61688405,52.493331,52.42160468,52.40313932,52.44694988,52.55708579,52.67571465,52.8683878,53.1232987,53.4268739,53.77104432,54.1602842,54.58758145,55.03847485,55.49658552,55.945889,56.53993422,57.10208309,57.61606543,58.07455791,58.47506988,58.88646502,59.26522648,59.58292219,59.83575751,60.04053015,59.80552555,59.59324359,59.41022284,59.27572714,59.2072997
